RUN	gatlingtest.SequentialAccessSimulation	sequentialaccesssimulation	1715750877898	 	3.10.5
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878437
USER	User Flow Scenario	START	1715750878440
USER	User Flow Scenario	START	1715750878440
USER	User Flow Scenario	START	1715750878441
USER	User Flow Scenario	START	1715750878441
USER	User Flow Scenario	START	1715750878441
USER	User Flow Scenario	START	1715750878441
USER	User Flow Scenario	START	1715750878441
USER	User Flow Scenario	START	1715750878442
USER	User Flow Scenario	START	1715750878442
USER	User Flow Scenario	START	1715750878442
USER	User Flow Scenario	START	1715750878442
USER	User Flow Scenario	START	1715750878442
USER	User Flow Scenario	START	1715750878442
USER	User Flow Scenario	START	1715750878442
USER	User Flow Scenario	START	1715750878443
USER	User Flow Scenario	START	1715750878443
USER	User Flow Scenario	START	1715750878444
REQUEST		Request /product	1715750878367	1715750878475	OK	 
REQUEST		Request /product	1715750878367	1715750878458	OK	 
REQUEST		Request /product	1715750878376	1715750878472	OK	 
REQUEST		Request /product	1715750878368	1715750878459	OK	 
REQUEST		Request /product	1715750878368	1715750878469	OK	 
REQUEST		Request /product	1715750878367	1715750878473	OK	 
REQUEST		Request /product	1715750878374	1715750878467	OK	 
REQUEST		Request /product	1715750878437	1715750878462	OK	 
REQUEST		Request /product	1715750878437	1715750878476	OK	 
REQUEST		Request /product	1715750878436	1715750878475	OK	 
REQUEST		Request /product	1715750878442	1715750878458	OK	 
REQUEST		Request /product	1715750878367	1715750878473	OK	 
REQUEST		Request /product	1715750878368	1715750878484	OK	 
REQUEST		Request /product	1715750878374	1715750878472	OK	 
REQUEST		Request /product	1715750878375	1715750878485	OK	 
REQUEST		Request /product	1715750878368	1715750878485	OK	 
REQUEST		Request /product	1715750878375	1715750878485	OK	 
REQUEST		Request /product	1715750878441	1715750878485	OK	 
REQUEST		Request /product	1715750878376	1715750878485	OK	 
REQUEST		Request /product	1715750878442	1715750878485	OK	 
REQUEST		Request /product	1715750878367	1715750878485	OK	 
REQUEST		Request /product	1715750878436	1715750878485	OK	 
REQUEST		Request /product	1715750878436	1715750878485	OK	 
REQUEST		Request /product	1715750878367	1715750878485	OK	 
REQUEST		Request /product	1715750878367	1715750878485	OK	 
REQUEST		Request /product	1715750878374	1715750878485	OK	 
REQUEST		Request /product	1715750878375	1715750878485	OK	 
REQUEST		Request /product	1715750878367	1715750878485	OK	 
REQUEST		Request /product	1715750878436	1715750878485	OK	 
REQUEST		Request /product	1715750878375	1715750878485	OK	 
REQUEST		Request /product	1715750878443	1715750878485	OK	 
REQUEST		Request /product	1715750878435	1715750878486	OK	 
REQUEST		Request /product	1715750878375	1715750878486	OK	 
REQUEST		Request /product	1715750878368	1715750878486	OK	 
REQUEST		Request /product	1715750878444	1715750878486	OK	 
REQUEST		Request /product	1715750878374	1715750878486	OK	 
REQUEST		Request /product	1715750878443	1715750878486	OK	 
REQUEST		Request /product	1715750878375	1715750878486	OK	 
REQUEST		Request /product	1715750878368	1715750878476	OK	 
REQUEST		Request /product	1715750878367	1715750878486	OK	 
REQUEST		Request /product	1715750878436	1715750878486	OK	 
REQUEST		Request /product	1715750878367	1715750878486	OK	 
REQUEST		Request /product	1715750878376	1715750878487	OK	 
REQUEST		Request /product	1715750878374	1715750878487	OK	 
REQUEST		Request /product	1715750878442	1715750878487	OK	 
REQUEST		Request /product	1715750878437	1715750878487	OK	 
REQUEST		Request /product	1715750878367	1715750878478	OK	 
REQUEST		Request /product	1715750878368	1715750878458	OK	 
REQUEST		Request /product	1715750878376	1715750878472	OK	 
REQUEST		Request /product	1715750878375	1715750878487	OK	 
REQUEST		Request /product	1715750878436	1715750878487	OK	 
REQUEST		Request /product	1715750878437	1715750878487	OK	 
REQUEST		Request /product	1715750878375	1715750878487	OK	 
REQUEST		Request /product	1715750878368	1715750878487	OK	 
REQUEST		Request /product	1715750878435	1715750878488	OK	 
REQUEST		Request /product	1715750878436	1715750878488	OK	 
REQUEST		Request /product	1715750878375	1715750878488	OK	 
REQUEST		Request /product	1715750878374	1715750878488	OK	 
REQUEST		Request /product	1715750878437	1715750878488	OK	 
REQUEST		Request /product	1715750878440	1715750878488	OK	 
REQUEST		Request /product	1715750878375	1715750878488	OK	 
REQUEST		Request /product	1715750878437	1715750878488	OK	 
REQUEST		Request /product	1715750878375	1715750878489	OK	 
REQUEST		Request /product	1715750878374	1715750878489	OK	 
REQUEST		Request /product	1715750878374	1715750878489	OK	 
REQUEST		Request /product	1715750878375	1715750878489	OK	 
REQUEST		Request /product	1715750878437	1715750878489	OK	 
REQUEST		Request /product	1715750878375	1715750878489	OK	 
REQUEST		Request /product	1715750878376	1715750878490	OK	 
REQUEST		Request /product	1715750878367	1715750878478	OK	 
REQUEST		Request /product	1715750878440	1715750878490	OK	 
REQUEST		Request /product	1715750878441	1715750878490	OK	 
REQUEST		Request /product	1715750878369	1715750878490	OK	 
REQUEST		Request /product	1715750878436	1715750878490	OK	 
REQUEST		Request /product	1715750878435	1715750878490	OK	 
REQUEST		Request /product	1715750878375	1715750878467	OK	 
REQUEST		Request /product	1715750878436	1715750878466	OK	 
REQUEST		Request /product	1715750878375	1715750878458	OK	 
REQUEST		Request /product	1715750878374	1715750878491	OK	 
REQUEST		Request /product	1715750878367	1715750878491	OK	 
REQUEST		Request /product	1715750878375	1715750878491	OK	 
REQUEST		Request /product	1715750878369	1715750878491	OK	 
REQUEST		Request /product	1715750878375	1715750878492	OK	 
REQUEST		Request /product	1715750878367	1715750878492	OK	 
REQUEST		Request /product	1715750878374	1715750878492	OK	 
REQUEST		Request /product	1715750878374	1715750878492	OK	 
REQUEST		Request /product	1715750878375	1715750878492	OK	 
REQUEST		Request /product	1715750878375	1715750878493	OK	 
REQUEST		Request /product	1715750878374	1715750878493	OK	 
REQUEST		Request /product	1715750878437	1715750878493	OK	 
REQUEST		Request /product	1715750878437	1715750878493	OK	 
REQUEST		Request /product	1715750878374	1715750878494	OK	 
REQUEST		Request /product	1715750878376	1715750878494	OK	 
REQUEST		Request /product	1715750878374	1715750878495	OK	 
REQUEST		Request /product	1715750878437	1715750878493	OK	 
REQUEST		Request /product	1715750878374	1715750878496	OK	 
REQUEST		Request /product	1715750878436	1715750878496	OK	 
REQUEST		Request /product	1715750878442	1715750878496	OK	 
REQUEST		Request /product	1715750878376	1715750878496	OK	 
REQUEST		Request /product	1715750878374	1715750878497	OK	 
REQUEST		Request /cart	1715750879505	1715750879511	OK	 
REQUEST		Request /cart	1715750879507	1715750879517	OK	 
REQUEST		Request /cart	1715750879498	1715750879520	OK	 
REQUEST		Request /cart	1715750879518	1715750879524	OK	 
REQUEST		Request /cart	1715750879525	1715750879541	OK	 
REQUEST		Request /cart	1715750879531	1715750879551	OK	 
REQUEST		Request /cart	1715750879546	1715750879557	OK	 
REQUEST		Request /cart	1715750879562	1715750879584	OK	 
REQUEST		Request /cart	1715750879559	1715750879584	OK	 
REQUEST		Request /cart	1715750879584	1715750879644	OK	 
REQUEST		Request /cart	1715750879633	1715750879644	OK	 
REQUEST		Request /cart	1715750879578	1715750879648	OK	 
REQUEST		Request /cart	1715750879613	1715750879835	OK	 
REQUEST		Request /cart	1715750879597	1715750879936	OK	 
REQUEST		Request /cart	1715750879583	1715750879940	OK	 
REQUEST		Request /cart	1715750879613	1715750879943	OK	 
REQUEST		Request /cart	1715750879662	1715750880036	OK	 
REQUEST		Request /cart	1715750879589	1715750880141	OK	 
REQUEST		Request /cart	1715750879919	1715750880143	OK	 
REQUEST		Request /cart	1715750879726	1715750880143	OK	 
REQUEST		Request /cart	1715750879684	1715750880143	OK	 
REQUEST		Request /cart	1715750879887	1715750880152	OK	 
REQUEST		Request /cart	1715750879813	1715750880238	OK	 
REQUEST		Request /cart	1715750879846	1715750880239	OK	 
REQUEST		Request /cart	1715750879697	1715750880241	OK	 
REQUEST		Request /cart	1715750879698	1715750880241	OK	 
REQUEST		Request /cart	1715750879723	1715750880242	OK	 
REQUEST		Request /cart	1715750879895	1715750880339	OK	 
REQUEST		Request /cart	1715750879713	1715750880351	OK	 
REQUEST		Request /cart	1715750879870	1715750880443	OK	 
REQUEST		Request /cart	1715750879601	1715750880605	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750880652
REQUEST		Request /cart	1715750879650	1715750880653	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750880669
REQUEST		Request /cart	1715750879698	1715750880700	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750879747	1715750880751	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750879747	1715750880751	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750879795	1715750880798	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750879798	1715750880800	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750880808
REQUEST		Request /cart	1715750879809	1715750880811	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750880820
REQUEST		Request /cart	1715750879711	1715750880840	OK	 
REQUEST		Request /cart	1715750879829	1715750880839	OK	 
REQUEST		Request /cart	1715750880131	1715750880842	OK	 
REQUEST		Request /cart	1715750880154	1715750880843	OK	 
REQUEST		Request /cart	1715750879851	1715750880844	OK	 
REQUEST		Request /cart	1715750879851	1715750880844	OK	 
REQUEST		Request /cart	1715750879839	1715750880844	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880163	1715750880844	OK	 
REQUEST		Request /cart	1715750880279	1715750880844	OK	 
REQUEST		Request /cart	1715750879965	1715750880845	OK	 
REQUEST		Request /cart	1715750880006	1715750880845	OK	 
REQUEST		Request /cart	1715750879914	1715750880846	OK	 
REQUEST		Request /cart	1715750879942	1715750880847	OK	 
REQUEST		Request /cart	1715750879854	1715750880848	OK	 
USER	User Flow Scenario	END	1715750880916
REQUEST		Request /cart	1715750880147	1715750880939	OK	 
REQUEST		Request /cart	1715750879971	1715750880941	OK	 
REQUEST		Request /cart	1715750880142	1715750880942	OK	 
REQUEST		Request /cart	1715750880059	1715750880951	OK	 
REQUEST		Request /cart	1715750879953	1715750880956	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750880963
REQUEST		Request /cart	1715750879967	1715750880969	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750880970
USER	User Flow Scenario	END	1715750880973
REQUEST		Request /cart	1715750879971	1715750880973	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750879971	1715750880973	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750879972	1715750880974	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750879992	1715750880996	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880011	1715750881015	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880013	1715750881016	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880027	1715750881031	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880031	1715750881034	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880167	1715750881036	OK	 
REQUEST		Request /cart	1715750880349	1715750881039	OK	 
REQUEST		Request /cart	1715750880156	1715750881044	OK	 
REQUEST		Request /cart	1715750880050	1715750881052	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750881058
USER	User Flow Scenario	END	1715750881070
REQUEST		Request /cart	1715750880086	1715750881089	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750881126
REQUEST		Request /cart	1715750880123	1715750881127	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880149	1715750881139	OK	 
REQUEST		Request /cart	1715750880168	1715750881170	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880173	1715750881174	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880187	1715750881190	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880191	1715750881193	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750881198
USER	User Flow Scenario	END	1715750881200
REQUEST		Request /cart	1715750880216	1715750881219	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880236	1715750881239	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880464	1715750881240	OK	 
REQUEST		Request /cart	1715750880294	1715750881242	OK	 
REQUEST		Request /cart	1715750880261	1715750881265	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880276	1715750881280	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880281	1715750881284	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880287	1715750881291	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880296	1715750881300	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750881318
USER	User Flow Scenario	END	1715750881323
USER	User Flow Scenario	END	1715750881323
REQUEST		Request /cart	1715750880335	1715750881339	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880286	1715750881341	OK	 
REQUEST		Request /cart	1715750880385	1715750881344	OK	 
REQUEST		Request /cart	1715750880349	1715750881351	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880362	1715750881365	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880372	1715750881375	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880407	1715750881411	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750881413
REQUEST		Request /cart	1715750880409	1715750881413	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880426	1715750881430	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750881430
REQUEST		Request /cart	1715750880440	1715750881442	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880442	1715750881444	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880444	1715750881446	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880474	1715750881478	KO	status.find.is(200), but actually found 404
REQUEST		Request /cart	1715750880475	1715750881479	KO	status.find.is(200), but actually found 404
USER	User Flow Scenario	END	1715750881482
USER	User Flow Scenario	END	1715750881496
USER	User Flow Scenario	END	1715750881676
USER	User Flow Scenario	END	1715750881680
USER	User Flow Scenario	END	1715750881855
USER	User Flow Scenario	END	1715750881887
USER	User Flow Scenario	END	1715750881914
USER	User Flow Scenario	END	1715750881919
USER	User Flow Scenario	END	1715750881937
USER	User Flow Scenario	END	1715750881952
USER	User Flow Scenario	END	1715750881978
USER	User Flow Scenario	END	1715750881999
USER	User Flow Scenario	END	1715750882004
USER	User Flow Scenario	END	1715750882011
USER	User Flow Scenario	END	1715750882035
USER	User Flow Scenario	END	1715750882040
USER	User Flow Scenario	END	1715750882045
USER	User Flow Scenario	END	1715750882060
USER	User Flow Scenario	END	1715750882076
USER	User Flow Scenario	END	1715750882094
USER	User Flow Scenario	END	1715750882111
USER	User Flow Scenario	END	1715750882128
USER	User Flow Scenario	END	1715750882144
USER	User Flow Scenario	END	1715750882198
USER	User Flow Scenario	END	1715750882217
USER	User Flow Scenario	END	1715750882229
USER	User Flow Scenario	END	1715750882235
USER	User Flow Scenario	END	1715750882236
USER	User Flow Scenario	END	1715750882260
USER	User Flow Scenario	END	1715750882261
USER	User Flow Scenario	END	1715750882271
USER	User Flow Scenario	END	1715750882298
USER	User Flow Scenario	END	1715750882312
USER	User Flow Scenario	END	1715750882321
USER	User Flow Scenario	END	1715750882328
USER	User Flow Scenario	END	1715750882352
USER	User Flow Scenario	END	1715750882360
USER	User Flow Scenario	END	1715750882372
USER	User Flow Scenario	END	1715750882390
USER	User Flow Scenario	END	1715750882393
USER	User Flow Scenario	END	1715750882402
USER	User Flow Scenario	END	1715750882414
USER	User Flow Scenario	END	1715750882426
USER	User Flow Scenario	END	1715750882432
USER	User Flow Scenario	END	1715750882486
USER	User Flow Scenario	END	1715750882501
USER	User Flow Scenario	END	1715750882515
USER	User Flow Scenario	END	1715750882515
USER	User Flow Scenario	END	1715750882516
USER	User Flow Scenario	END	1715750882532
USER	User Flow Scenario	END	1715750882537
USER	User Flow Scenario	END	1715750882580
USER	User Flow Scenario	END	1715750882601
USER	User Flow Scenario	END	1715750882625
USER	User Flow Scenario	END	1715750882630
USER	User Flow Scenario	END	1715750882699
USER	User Flow Scenario	END	1715750882720
USER	User Flow Scenario	END	1715750882762
USER	User Flow Scenario	END	1715750882775
USER	User Flow Scenario	END	1715750882783
USER	User Flow Scenario	END	1715750882786
USER	User Flow Scenario	END	1715750882817
USER	User Flow Scenario	END	1715750882824
USER	User Flow Scenario	END	1715750882829
USER	User Flow Scenario	END	1715750882830
USER	User Flow Scenario	END	1715750882830
USER	User Flow Scenario	END	1715750882837
USER	User Flow Scenario	END	1715750882853
USER	User Flow Scenario	END	1715750882904
USER	User Flow Scenario	END	1715750882928
USER	User Flow Scenario	END	1715750882940
USER	User Flow Scenario	END	1715750882962
USER	User Flow Scenario	END	1715750883003
USER	User Flow Scenario	END	1715750883020
USER	User Flow Scenario	END	1715750883027
USER	User Flow Scenario	END	1715750883051
USER	User Flow Scenario	END	1715750883073
USER	User Flow Scenario	END	1715750883186
USER	User Flow Scenario	END	1715750883188
USER	User Flow Scenario	END	1715750883230
USER	User Flow Scenario	END	1715750883258
USER	User Flow Scenario	END	1715750883318
